市町村,タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,無線LANAP屋内設置数,無線LANAP屋外設置数,主な設置場所
牟岐町,徳島県立海部病院 ,徳島県海部郡牟岐町大字中村字本村75-1 ,33.67084217,134.4146156,,,,,,,,,,,1,,４階ホール付近
那賀町,川口ダム自然エネルギーミュージアム,徳島県那賀郡那賀町吉野字イヤ谷72-1,33.79993016,134.4662294,,,,,,,,,,,1,,エントランス
那賀町,鷲の里観光物産センター,徳島県那賀郡那賀町和食郷字田野82,33.86320683,134.5023454,,,,,,,,,,,2,,レストラン前、展示ホール
那賀町,四季美谷温泉,徳島県那賀郡那賀町横谷字夏切3-3,33.86303654,134.2511638,,,,,,,,,,,3,,1Fロビー・研修室前、2F廊下
石井町,飯尾川公園,徳島県名西郡石井町高川原字高川原2115番地3,34.08430445,134.4464428,,,,,,,,,,,2,1,いしいドーム（温水プール棟前・エントランス、トレーニング棟町民ホール）
石井町,石井町役場,徳島県名西郡石井町高川原字高川原121番地1,34.07423405,134.4407002,,,,,,,,,,,3,1,1・2Fロビー、3Fホワイエ、屋上
阿南市,牛岐城趾公園,徳島県阿南市富岡町トノ町24番地3,33.92081992,134.6574844,,,,,,,,,,,,3,管理事務所前、牛岐城趾館前、東口広場
阿南市,阿南市商工業振興センター,徳島県阿南市富岡町今福寺34番地4,33.91894347,134.6632508,,,,,,,,,,,1,1,ピロティー、2Ｆホワイエ
阿南市,阿南市かもだ岬温泉保養センター,徳島県阿南市椿町船瀬60番地2,33.83165452,134.7265178,,,,,,,,,,,1,,ロビー
鳴門市,鳴門市ドイツ館,徳島県鳴門市大麻町桧字東山田55番地の2,34.1647726,134.4990503,,,,,,,,,,,1,,エントランス
鳴門市,鳴門合同庁舎,徳島県鳴門市無養町立岩字七枚128 ,34.1726236,134.6139128,,,,,,,,,,,7,,大会議室、特別会議室、２階ロビー付近ほか
