徳島県内宿泊施設一覧(判明分のみ),,更新日,2014.11.25,,,,,,
ID,施設名,業種,郵便番号,住所,緯度,経度,電話番号,URL,
1,徳島東急イン,ホテル,770-0834,徳島県徳島市元町１丁目２４,34.073372,134.548617,088-626-0109,http://www.tokushima-i.tokyuhotels.co.jp/ja/index.html,
2,ホテル千秋閣,ホテル,770-0847,徳島県徳島市幸町３丁目５５,34.069307,134.555677,088-622-9121,http://www.sensyukaku.jp/,
3,ホテルグランドパレス徳島,ホテル,770-0831,徳島県徳島市寺島本町西１丁目６０－１,34.075237,134.548647,088-626-1111,,
4,ホテルクレメント徳島,ホテル,770-0831,徳島県徳島市寺島本町西１丁目６１,34.074455,134.551061,088-656-3111,http://www.hotelclement.co.jp/,
5,徳島アイネ,ホテル,771-0101,徳島県徳島市川内町旭野１３１,34.08706,134.602304,088-665-2131,,
6,徳島ワシントンホテルプラザ,ホテル,770-0923,徳島県徳島市大道１丁目６１－１,34.066976,134.547036,088-653-7111,,
7,サンシャイン徳島アネックス,ホテル,770-0824,徳島県徳島市南出来島町２丁目９,34.077617,134.544343,088-622-2333,,
8,ホテルサンシャイン徳島,ホテル,770-0824,徳島県徳島市南出来島町２丁目９,34.077142,134.544379,088-622-2333,http://www.hotel-sunshine.co.jp/,
9,徳島グランヴィリオホテル,ホテル・観光ホテル,770-0941,徳島県徳島市万代町３丁目５－１,34.065033,134.561274,088-624-1111,http://www.tokushima-hotelresort.com/,
10,タウンホテル千代,ビジネスホテル,770-0939,徳島県徳島市かちどき橋１丁目５０,34.064734,134.556328,088-653-6221,http://www.chiyo.burari.biz/,
11,アパホテル<徳島駅前>,ビジネスホテル,770-0833,徳島県徳島市一番町２丁目２１,34.072523,134.552342,088-655-5005,http://www.apahotel.com/hotel/shikoku/05_tokushima-ekimae/,
12,ホテルサンルート徳島,ビジネスホテル,770-0834,徳島県徳島市元町１丁目５－１,34.073211,134.550675,088-653-8111,http://www.sunroute.jp/HotelInfo/shikoku/tokushima/index.html?gclid=CLaXvqTfp74CFU0DvAodp4oAXQ,
13,ビジネスホテルメイアップ,ビジネスホテル,770-0847,徳島県徳島市幸町３丁目１０８,34.067916,134.554559,088-655-5757,http://www.hyper-inn.net/asp/nwsitem.asp?nw_id=24,
14,ビジネスホテル栄月,ビジネスホテル,770-0022,徳島県徳島市佐古二番町１０－８,34.078734,134.538241,088-653-6006,,
15,アグネスホテル徳島,ビジネスホテル,770-0831,徳島県徳島市寺島本町西１丁目２８,34.074687,134.548406,088-626-2222,http://www.agneshotel.jp,
16,アグネスホテルプラス,ビジネスホテル,770-0831,徳島県徳島市寺島本町西１丁目３４,34.074993,134.548512,088-655-1212,,
17,ホテルフォーシーズン,ビジネスホテル,770-0831,徳島県徳島市寺島本町西１丁目５４,34.074388,134.549722,088-622-2203,http://www.fshotel.jp,
18,ビジネスホテル大崎,ビジネスホテル,770-0831,徳島県徳島市寺島本町西２丁目１９,34.075451,134.547433,088-623-5451,,
19,徳島ステーションホテル,ビジネスホテル,770-0832,徳島県徳島市寺島本町東３丁目４,34.073122,134.551892,088-652-8181,,
20,ビジネスホテル白糸,ビジネスホテル,770-0934,徳島県徳島市秋田町１丁目７１,34.065376,134.550371,088-652-2527,,
21,ホテルプラザイン徳島,ビジネスホテル,770-0815,徳島県徳島市助任橋１丁目２０,34.077212,134.558416,088-626-1771,http://www.gladonehotels-tokushima.jp/,
22,徳島県庁前第一ホテル,ビジネスホテル,770-0942,徳島県徳島市昭和町１丁目１５,34.06508,134.558043,088-655-5151,http://www.tokushima-daiichihotel.co.jp,
23,ビジネスホテルニュー東洋,ビジネスホテル,770-0902,徳島県徳島市西新町１丁目３３,34.071779,134.547264,088-625-8181,,
24,ビジネスホテル近藤,ビジネスホテル,770-0903,徳島県徳島市西大工町１丁目１０,34.071194,134.545547,088-622-8511,,
25,ビジネスホテルコスモス徳島,ビジネスホテル,770-0936,徳島県徳島市中央通２丁目３５－４,34.063171,134.552193,088-622-2001,http://cosmos-tokushima.jp/,
26,ビジネスホテルパレス２１,ビジネスホテル,770-0856,徳島県徳島市中洲町１丁目２６,34.067985,134.558673,088-655-0021,http://www4.ocn.ne.jp/~paresu21/,
27,ビジネスホテルＮＡＫＡＺＵ,ビジネスホテル,770-0856,徳島県徳島市中洲町３丁目２６－３,34.067779,134.560435,088-623-2180,http://h-nakazu.netdesign-web.com/,
28,ウイークリー徳島,ビジネスホテル,770-0813,徳島県徳島市中常三島町３丁目７－１Ｆ,34.078987,134.564516,088-624-5041,,
29,レステイホテルズＤＥＥ,ビジネスホテル,770-0932,徳島県徳島市仲之町１丁目２１－４－２Ｆ,34.066959,134.551577,088-625-7778,,
30,ビジネスホテル清風荘,ビジネスホテル,770-0842,徳島県徳島市通町３丁目８,34.071581,134.550524,088-625-5708,,
31,ビジネスホテル徳島東船場,ビジネスホテル,770-0911,徳島県徳島市東船場町２丁目１５,34.069342,134.549681,088-626-0818,http://www.hyper-inn.net/own/index.asp,
32,アバァンティビジネスホテル,ビジネスホテル,770-0905,徳島県徳島市東大工町１丁目２０,34.069467,134.546345,088-654-5550,,
33,アルファホテル徳島,ビジネスホテル,770-0905,徳島県徳島市東大工町２丁目１１,34.068793,134.547047,088-655-0222,http://alpha-t.hotwire.jp/,
34,東横イン徳島駅眉山口,ビジネスホテル,770-0905,徳島県徳島市東大工町２丁目７,34.069026,134.547002,088-626-1045,http://www.toyoko-inn.com/hotel/00116/index.html,
35,センチュリープラザホテル,ビジネスホテル,770-0944,徳島県徳島市南昭和町１丁目４６－１,34.056369,134.554502,088-655-3333,http://www.century-ph.com/,
36,ビジネスホテルみづほ,ビジネスホテル,770-0933,徳島県徳島市南仲之町１丁目４６－３,34.065486,134.550947,088-654-4151,,
37,オリエントビジネスホテル,ビジネスホテル,770-8063,徳島県徳島市南二軒屋町１丁目１－３０,34.054344,134.546054,088-625-2827,,
38,ビジネスホテルアネックスみずほ,ビジネスホテル,770-0937,徳島県徳島市富田橋１丁目１１９-７,34.065314,134.552111,088-654-7878,,
39,ビジネスホテルサンパール,ビジネスホテル,770-0937,徳島県徳島市富田橋１丁目８６,34.065406,134.553006,088-653-3537,,
40,ビジネスホテルふじしま,ビジネスホテル,770-0937,徳島県徳島市富田橋２丁目５９,34.064302,134.552286,088-622-8502,,
41,ホテル越久,ビジネスホテル,770-0931,徳島県徳島市富田浜１丁目２２,34.067691,134.551838,088-623-6081,http://www.hyper-inn.net/asp/nwsitem.asp?nw_id=79,
42,ビジネスホテル笹田,ビジネスホテル,770-0931,徳島県徳島市富田浜１丁目９,34.068289,134.550916,088-625-1288,,
43,ホテルキャッスルＣＶ,ビジネスホテル,770-0812,徳島県徳島市北常三島町２丁目１１－１,34.080673,134.561866,088-625-2334,,
44,東横イン徳島駅前,ビジネスホテル,770-0843,徳島県徳島市両国本町１丁目５,34.071381,134.552883,088-657-1046,http://www.toyoko-inn.com/hotel/00192/index.html,
45,ホテルアストリア,ビジネスホテル・ビジネス旅館,770-0833,徳島県徳島市一番町２丁目２６－１,34.072313,134.552758,088-653-6151,,
46,ビジネスホテルエーゲ,ビジネスホテル・ビジネス旅館,770-0802,徳島県徳島市吉野本町５丁目１６,34.085402,134.551877,088-622-4199,,
47,ビジネス旅館七歩,ビジネスホテル・ビジネス旅館,770-0934,徳島県徳島市秋田町２丁目４９,34.064742,134.550418,088-622-8891,,
48,ともや旅館,ビジネスホテル・ビジネス旅館,770-0846,徳島県徳島市南内町１丁目４９－１,34.06861,134.552971,088-652-6051,,
49,剣山ホテル,ビジネスホテル・ビジネス旅館,770-0846,徳島県徳島市南内町２丁目１１,34.069874,134.551079,088-654-3331,,
50,ニュー丸新,ビジネスホテル・ビジネス旅館,770-0931,徳島県徳島市富田浜３丁目１０,34.066747,134.554836,088-652-4752,,
