観光地点等一覧,H25.11.8,,,,,
ID,名称,住所,緯度,経度,電話番号,種別
1,うずしお汽船,鳴門市鳴門町土佐泊浦字福池65-63,34.2337291,134.637745,,
2,鳴門観光汽船,鳴門市鳴門町土佐泊浦字大毛264-1,34.2307687,134.6233836,,
3,渦の道,鳴門市鳴門町土佐泊浦字福池65,34.2358481,134.6399251,,
4,鳴門市ドイツ館,鳴門市大麻町桧字東山田55-2,34.1647063,134.499067,,施設
5,賀川豊彦記念館,鳴門市大麻町桧字東山田50-2,34.1632926,134.4987754,,施設
6,大鳴門橋架橋記念館エディ,鳴門市鳴門町土佐泊浦字福池65,34.2358481,134.6399251,,
7,大塚国際美術館,鳴門市鳴門町土佐泊浦字福池65-1,34.2325154,134.63772,,
8,鳴門ウチノ海総合公園,鳴門市鳴門町高島字北679,34.2106655,134.5944627,,
9,鳴門カントリークラブ,鳴門市瀬戸町北泊字北泊529-1,34.2354015,134.5812579,,
10,鳴門・大塚スポーツパーク,鳴門市撫養町立岩字四枚61,34.1679659,134.6153904,,
11,道の駅「第九の里」物産館,鳴門市大麻町桧字東山田53,34.1638897,134.4988142,,
12,霊山寺,鳴門市大麻町板東字塚鼻126,34.1594736,134.5029721,,
13,船窪つつじ公園,吉野川市山川町奥野井387-1,34.0026827,134.1928979,,
14,バンブーパーク,吉野川市山川町前川263-1,34.0624416,134.230527,,
15,鴨島温泉「鴨の湯」,吉野川市鴨島町飯尾415-1,34.063008,134.3614475,,
16,保養センター上桜温泉,吉野川市川島町桑村607-3,34.0539332,134.3257288,,
17,ふいご温泉,吉野川市山川町久宗31-1,34.0337763,134.2341886,,
18,ヘルスランド美郷,吉野川市美郷字奥丸75,34.0366262,134.3006483,,
19,美郷物産館,吉野川市美郷字峠463-3,34.0327515,134.2558115,,
20,阿波の土柱,阿波市阿波町桜ノ岡,34.0846251,134.2040565,,
21,七番札所　十楽寺,阿波市土成町高尾字法教田５８,34.1207317,134.3779212,,
22,八番札所　熊谷寺,阿波市土成町土成字前田１８５,34.1208041,134.3400349,,
23,九番札所　法輪寺,阿波市土成町土成字田中１９８−２,34.1043948,134.3338026,,
24,十番札所　切幡寺,阿波市市場町切幡字観音１２９,34.1078,134.3042772,,
25,奥宮川内自然公園,阿波市土成町宮川内,34.1187875,134.3623502,,
26,緑の丘スポーツ公園,阿波市土成町土成字北原1,34.1203515,134.334863,,
27,タカガワ西徳島ゴルフ倶楽部,阿波市阿波町北山１０,34.0890438,134.1936046,,
28,Ｊクラッシックゴルフクラブ,阿波市土成町秋月字明月１７６−１,34.1154105,134.315623,,
29,天然温泉　御所の郷,阿波市土成町吉田字梨木原１,34.1238536,134.3536619,,
30,土柱休養村温泉,阿波市阿波町北正広２０５,34.0943301,134.2119805,,
31,金清温泉　白鳥荘,阿波市市場町尾開字日吉４１５−１,34.1130357,134.2984635,,
32,道の駅「どなり」,阿波市土成町宮川内字平間２８−２,34.150942,134.3524444,,
33,御所たらいうどん,阿波市土成町宮川内,34.1187875,134.3623502,,
34,松茂町歴史民俗資料館・人形浄瑠璃芝居資料館,板野郡松茂町広島字四番越11番地の１,34.1369484,134.5826866,,
35,徳島県立防災センター,板野郡北島町鯛浜字大西１６５,34.1131899,134.5441185,,
36,藍住町歴史館「藍の館」,板野郡藍住町徳命字前須西１７２,34.1157104,134.4825166,,
37,あせび温泉やすらぎの郷,板野郡板野町大坂字椋木原30-1,34.1671465,134.4573933,,
38,あすたむらんど徳島,板野郡板野町那東キビガ谷,34.1510782,134.4386366,,
39,ふれあい市アグリ板野,板野郡板野町川端字惣徳田70,34.147657,134.4719114,,
40,三番札所　金泉寺,板野郡板野町大寺字亀山下66,34.147457,134.4685312,,
41,四番札所　大日寺,板野郡板野町黒谷字居内5,34.1513448,134.4308568,,
42,五番札所　地蔵寺,板野郡板野町羅漢字林東5,34.1382851,134.4313845,,
43,六番札所　安楽寺,板野郡上板町引野字寺の西北8,34.1180403,134.3883122,,
44,上板町ファミリースポーツ公園,板野郡上板町七條天王7,34.1227009,134.4115287,,
45,御所カントリークラブ,板野郡上板町引野安楽寺谷90-10,34.1341606,134.380379,,
46,吉墅川温泉,板野郡上板町椎本字四宮西388,34.1199096,134.4325266,,
47,上板日曜市,板野郡上板町泉谷,34.1310082,134.3983856,,
48,大山寺,板野郡上板町神宅大山14 ,34.1595354,134.3999014,,
49,大塚製薬㈱徳島板野工場,板野郡板野町松谷 ,34.1444845,134.4336343,,
50,バルトの庭,鳴門市大麻町桧字野神ノ北２２番地１,34.1565181,134.4967173,,
51,阿波和紙伝統産業会館,吉野川市山川町川東141,34.0459634,134.2310441,,
52,美郷ほたる館,吉野川市美郷字宗田82-1,34.0222586,134.2624299,,
53,吉野ウォーターパーク,阿波市吉野町西条,34.0992593,134.3918372,,
54,月見ヶ丘海水浴場,板野郡松茂町,34.1337682,134.5805563,,
55,月見ヶ丘海浜公園,板野郡松茂町豊岡字山ノ手42　,34.1208341,134.6039159,,
56,大麻比古神社,鳴門市大麻町板東字広塚１３,34.1709697,134.5025694,,
57,藤井寺,吉野川市鴨島町飯尾1525,34.0516509,134.348482,,
58,とくとくターミナル,板野郡松茂町中喜来字前原東四番越１４−１,34.1424646,134.5771954,,
59,グランディ鳴門ゴルフクラブ３６,鳴門市北灘町折野字上三津167-3,34.2029326,134.4702832,,
60,徳島県立阿波十郎兵衛屋敷,徳島市川内町宮島本浦184,34.0915816,134.5839739,,
61,文化の森総合公園,徳島市八万町向寺山,34.0398507,134.5260909,,
62,ひょうたん島周遊船,徳島市南内町2丁目,34.0697591,134.5504276,,
63,阿波おどり会館,徳島市新町橋２丁目２０,34.0701283,134.5451086,,
64,眉山ロープウェイ,徳島市新町橋２丁目２０,34.0701283,134.5451086,,
65,モラエス館,徳島市眉山町茂助ケ原１,34.0671534,134.5377565,,
66,徳島市立徳島城博物館,徳島市徳島町城内１-８,34.0735282,134.5556464,,
67,とくしま動物園,徳島市渋野町入道２２-１,34.0136677,134.5212469,,
68,みはらしの丘・あいさい広場,小松島市立江町炭屋ヶ谷47-3,33.9768044,134.6021166,,
69,和田島ちりめんの店,小松島市和田島町字西浜手10-33,33.9981896,134.6328295,,
70,"JAあいさい緑地
（和田島緑地）",小松島市和田島町字松田新田１６５番地の２０　,33.9929265,134.6285911,,
