,宿泊施設名,電話番号,郵便番号,所在地
1,徳島グランドホテル偕楽園,088-623-3333,770-0926,徳島市伊賀町1丁目8
2,徳島県庁前第一ホテル,088-655-5151,770-0942,徳島市昭和町1丁目15
3,徳島ワシントンホテル,088-653-7111,770-0923,徳島市大道1丁目61-1
4,ホテル白水園,088-622-9165,770-0932,徳島市仲之町1丁目40
5,東横イン　徳島駅眉山口,088-626-1045,770-0905,徳島市東大工町2-7
6,ホテルサンシャイン徳島,088-622-2333,770-0824,徳島市南出来島町2丁目9
7,センチュリープラザホテル,088-655-3333,770-0944,徳島市南昭和町1丁目46-1
8,かんぽの宿　徳島,088-625-1255,770-8071,徳島市八万町中津山3の70
9,徳島グランヴィリオホテル,088-624-1111,770-0941,徳島市万代町3-5-1
10,東横イン　徳島駅前,088-657-1045,770-0843,徳島市両国本町1-5
11,パークウェストン,088-624-3333,770-0808,徳島市南前川町3丁目1番地22
12,ホテル・ファーストシーズン,088-686-3261,772-0002,鳴門市撫養町斎田字大堤228
13,ホテルアド・イン鳴門,088-685-1115,772-0002,鳴門市撫養町斎田字大堤208
14,リゾートホテルモアナコースト,088-687-2255,772-0053,鳴門市鳴門町土佐泊浦字高砂186-16
15,ルネッサンスリゾｰトナルト,088-687-2580,772-0053,鳴門市鳴門町土佐泊浦字大毛16-45
16,鳴門グランドホテル,088-687-1515,772-0053,鳴門市鳴門町土佐泊浦字大毛82-88
17,ベイリゾートホテル鳴門海月,088-687-0333,772-0053,鳴門市鳴門町土佐泊浦字福池65-8
18,鯛丸海月,088-687-1001,772-0053,鳴門市鳴門町土佐泊浦字福池15-33
19,ファミリーロッジ旅籠屋・鳴門駅前店,088-686-8857,772-0012,鳴門市撫養町小桑島字前浜277-2
20,あなんステーションホテル,0884-28-7711,774-0030,阿南市富岡町今福寺43-5
21,阿南第一ホテル　アネックス,0884-28-7600,774-0030,阿南市富岡町玉塚28-2
22,阿南第一ホテル,0884-22-6622,774-0030,阿南市富岡町西池田口14-1
23,ホテル石松,0884-22-0126,774-0030,阿南市富岡町トノ町113-3
24,ロイヤルガーデンホテル,0884-23-3838,774-0030,阿南市富岡町あ王谷52-2
25,ホテルサンオーシャン,0884-23-2222,774-0030,阿南市富岡町滝の下42-4
26,安楽寺,088-694-2046,771-1311,上板町引野寺の西北8
27,ビジネスホテル　アクセス鴨島,0883-24-5050,776-0010,吉野川市鴨島町鴨島224-1
28,セントラルホテル鴨島,0883-24-8989,776-0010,吉野川市鴨島町鴨島471-2
29,ビジネスホテル　アクセス阿波,088-695-2200,771-1506,阿波市土成町土成字寒方51-4
30,宗教法人十楽寺　光明会館,088-695-2150,771-1509,阿波市土成町高尾字法教田58
31,ビジネスホテルわきまちマツカ,0883-52-1555,779-3602,美馬市脇町大字猪尻字建神社下南153-1
32,油屋美馬館,0883-53-7733,777-0005,美馬市穴吹町穴吹字市ﾉ下100-6
33,阿波池田駅前ホテルイレブン,0883-72-8115,778-0003,三好市池田町サラダ1835-1
34,国民の宿うみがめ荘,0884-77-1166,779-2304,美波町日和佐浦370-4
35,ホテル白い燈台,0884-77-1170,779-2304,美波町日和佐浦455
36,ふれあいの宿　遊遊NASA,0884-73-0300,775-0302,海陽町奥浦字鹿ヶ谷58-3
37,ホテル　リビエラししくい,0884-76-3300,775-0501,海陽町宍喰浦字松原226-1
